Sno,Hand,Action
1,Right,Open
2,Left,Open
3,Right,Close
4,Left,Close
5,Right,Open
6,Right,Close
7,Left,Open
8,Left,Close
9,Left,Open
10,Left,Close
11,Right,Open
12,Right,Close
13,Left,Open
14,Right,Open
15,Left,Close
16,Right,Close
17,Right,Open
18,Left,Open
19,Right,Close
20,Left,Close
21,Right,Open
22,Right,Close
23,Left,Open
24,Left,Close
25,Left,Open
26,Left,Close
27,Right,Open
28,Right,Close
29,Left,Open
30,Right,Open
31,Left,Close
32,Right,Close
33,Right,Open
34,Left,Open
35,Right,Close
36,Left,Close
37,Right,Open
38,Right,Close
39,Left,Open
40,Left,Close
41,Left,Open
42,Left,Close
43,Right,Open
44,Right,Close
45,Left,Open
46,Right,Open
47,Left,Close
48,Right,Close
49,Right,Open
50,Left,Open
51,Right,Close
52,Left,Close
53,Right,Open
54,Right,Close
55,Left,Open
56,Left,Close
57,Left,Open
58,Left,Close
59,Right,Open
60,Right,Close
61,Left,Open
62,Right,Open
63,Left,Close
64,Right,Close
65,Right,Open
66,Left,Open
67,Right,Close
68,Left,Close
69,Right,Open
70,Right,Close
71,Left,Open
72,Left,Close
73,Left,Open
74,Left,Close
75,Right,Open
76,Right,Close
77,Left,Open
78,Right,Open
79,Left,Close
80,Right,Close
81,Right,Open
82,Left,Open
83,Right,Close
84,Left,Close
85,Right,Open
86,Right,Close
87,Left,Open
88,Left,Close
89,Left,Open
90,Left,Close
91,Right,Open
92,Right,Close
93,Left,Open
94,Right,Open
95,Left,Close
96,Right,Close
97,Right,Open
98,Left,Open
99,Right,Close
100,Left,Close
101,Right,Open
102,Right,Close
103,Left,Open
104,Left,Close
105,Left,Open
106,Left,Close
107,Right,Open
108,Right,Close
109,Left,Open
110,Right,Open
111,Left,Close
112,Right,Close
113,Right,Open
114,Left,Open
115,Right,Close
116,Left,Close
117,Right,Open
118,Right,Close
119,Left,Open
120,Left,Close
121,Left,Open
122,Left,Close
123,Right,Open
124,Right,Close
125,Left,Open
126,Right,Open
127,Left,Close
128,Right,Close
129,Right,Open
130,Left,Open
131,Right,Close
132,Left,Close
133,Right,Open
134,Right,Close
135,Left,Open
136,Left,Close
137,Left,Open
138,Left,Close
139,Right,Open
140,Right,Close
141,Left,Open
142,Right,Open
143,Left,Close
144,Right,Close
145,Right,Open
146,Left,Open
147,Right,Close
148,Left,Close
149,Right,Open
150,Right,Close
151,Left,Open
152,Left,Close
153,Left,Open
154,Left,Close
155,Right,Open
156,Right,Close
157,Left,Open
158,Right,Open
159,Left,Close
160,Right,Close
